text,category
I was charged twice for my subscription.,Billing
What is your privacy policy?,General Inquiry
Is my data encrypted?,General Inquiry
I’d love a notification system for updates.,Feature Request
What are your support hours?,General Inquiry
I’d love a notification system for updates.,Feature Request
The search function isn't working properly.,Technical Issue
Is my data encrypted?,General Inquiry
Do you offer discounts for students?,General Inquiry
I need a refund for a mistaken payment.,Billing
Can you explain this charge on my credit card?,Billing
My billing history is missing from the dashboard.,Billing
The app crashes every time I open it.,Technical Issue
I'm getting an error when uploading files.,Technical Issue
I’d love a notification system for updates.,Feature Request
What is your privacy policy?,General Inquiry
The search function isn't working properly.,Technical Issue
Please delete my account permanently.,Account Management
Can you allow exporting data to Excel?,Feature Request
I need to merge two of my accounts.,Account Management
Can you explain this charge on my credit card?,Billing
Can you explain this charge on my credit card?,Billing
My billing history is missing from the dashboard.,Billing
Please consider integrating with Google Calendar.,Feature Request
I need to merge two of my accounts.,Account Management
The search function isn't working properly.,Technical Issue
My billing history is missing from the dashboard.,Billing
The search function isn't working properly.,Technical Issue
How can I change my username?,Account Management
The website loads very slowly on my computer.,Technical Issue
Can you explain this charge on my credit card?,Billing
Is my data encrypted?,General Inquiry
I want to update my email address.,Account Management
What are your support hours?,General Inquiry
I’d love a notification system for updates.,Feature Request
How do I reset my password?,Account Management
Please delete my account permanently.,Account Management
I can't log into my account.,Technical Issue
How can I change my username?,Account Management
I can't log into my account.,Technical Issue
I can't log into my account.,Technical Issue
Can you explain this charge on my credit card?,Billing
My billing history is missing from the dashboard.,Billing
What is your privacy policy?,General Inquiry
Can you explain this charge on my credit card?,Billing
Do you offer discounts for students?,General Inquiry
Is my data encrypted?,General Inquiry
I can't log into my account.,Technical Issue
The website loads very slowly on my computer.,Technical Issue
I'm getting an error when uploading files.,Technical Issue
I need a refund for a mistaken payment.,Billing
I want to update my email address.,Account Management
I’d love a notification system for updates.,Feature Request
How can I change my username?,Account Management
The website loads very slowly on my computer.,Technical Issue
The search function isn't working properly.,Technical Issue
It would be great to have a mobile app.,Feature Request
I need to merge two of my accounts.,Account Management
Can you allow exporting data to Excel?,Feature Request
How can I change my username?,Account Management
What is your privacy policy?,General Inquiry
It would be great to have a mobile app.,Feature Request
The website loads very slowly on my computer.,Technical Issue
The search function isn't working properly.,Technical Issue
I need a refund for a mistaken payment.,Billing
I need to merge two of my accounts.,Account Management
My billing history is missing from the dashboard.,Billing
Can you explain this charge on my credit card?,Billing
Why is my invoice amount higher this month?,Billing
How can I change my username?,Account Management
Do you offer discounts for students?,General Inquiry
Can you add dark mode support?,Feature Request
I'm getting an error when uploading files.,Technical Issue
How do I reset my password?,Account Management
Can you add dark mode support?,Feature Request
I’d love a notification system for updates.,Feature Request
I want to update my email address.,Account Management
Can you add dark mode support?,Feature Request
I want to update my email address.,Account Management
Can you explain this charge on my credit card?,Billing
Can you explain this charge on my credit card?,Billing
I can't log into my account.,Technical Issue
Can you explain this charge on my credit card?,Billing
It would be great to have a mobile app.,Feature Request
Can you allow exporting data to Excel?,Feature Request
What are your support hours?,General Inquiry
I was charged twice for my subscription.,Billing
I want to update my email address.,Account Management
The website loads very slowly on my computer.,Technical Issue
What is your privacy policy?,General Inquiry
Can you add dark mode support?,Feature Request
I want to update my email address.,Account Management
How do I reset my password?,Account Management
Why is my invoice amount higher this month?,Billing
I’d love a notification system for updates.,Feature Request
Can you add dark mode support?,Feature Request
I need a refund for a mistaken payment.,Billing
What is your privacy policy?,General Inquiry
My billing history is missing from the dashboard.,Billing
Do you offer discounts for students?,General Inquiry
The search function isn't working properly.,Technical Issue
Can you add dark mode support?,Feature Request
Where are your servers located?,General Inquiry
The website loads very slowly on my computer.,Technical Issue
It would be great to have a mobile app.,Feature Request
My billing history is missing from the dashboard.,Billing
How do I reset my password?,Account Management
What is your privacy policy?,General Inquiry
What is your privacy policy?,General Inquiry
What are your support hours?,General Inquiry
Can you allow exporting data to Excel?,Feature Request
I need a refund for a mistaken payment.,Billing
Please delete my account permanently.,Account Management
Can you explain this charge on my credit card?,Billing
Can you explain this charge on my credit card?,Billing
The app crashes every time I open it.,Technical Issue
Where are your servers located?,General Inquiry
The app crashes every time I open it.,Technical Issue
I need to merge two of my accounts.,Account Management
I want to update my email address.,Account Management
Can you allow exporting data to Excel?,Feature Request
I can't log into my account.,Technical Issue
I need a refund for a mistaken payment.,Billing
Can you explain this charge on my credit card?,Billing
The app crashes every time I open it.,Technical Issue
The app crashes every time I open it.,Technical Issue
Please delete my account permanently.,Account Management
Is my data encrypted?,General Inquiry
Is my data encrypted?,General Inquiry
How do I reset my password?,Account Management
The search function isn't working properly.,Technical Issue
How do I reset my password?,Account Management
Please delete my account permanently.,Account Management
Can you explain this charge on my credit card?,Billing
Can you allow exporting data to Excel?,Feature Request
Can you allow exporting data to Excel?,Feature Request
I want to update my email address.,Account Management
Can you allow exporting data to Excel?,Feature Request
I need to merge two of my accounts.,Account Management
How do I reset my password?,Account Management
Can you add dark mode support?,Feature Request
I’d love a notification system for updates.,Feature Request
The website loads very slowly on my computer.,Technical Issue
Please delete my account permanently.,Account Management
I was charged twice for my subscription.,Billing
Please delete my account permanently.,Account Management
How can I change my username?,Account Management
Is my data encrypted?,General Inquiry
I'm getting an error when uploading files.,Technical Issue
How can I change my username?,Account Management
Can you explain this charge on my credit card?,Billing
Is my data encrypted?,General Inquiry
How do I reset my password?,Account Management
I need a refund for a mistaken payment.,Billing
I need to merge two of my accounts.,Account Management
The app crashes every time I open it.,Technical Issue
The website loads very slowly on my computer.,Technical Issue
Can you add dark mode support?,Feature Request
The app crashes every time I open it.,Technical Issue
The search function isn't working properly.,Technical Issue
How can I change my username?,Account Management
What are your support hours?,General Inquiry
Do you offer discounts for students?,General Inquiry
Please consider integrating with Google Calendar.,Feature Request
How can I change my username?,Account Management
My billing history is missing from the dashboard.,Billing
The website loads very slowly on my computer.,Technical Issue
How can I change my username?,Account Management
Please delete my account permanently.,Account Management
The app crashes every time I open it.,Technical Issue
Why is my invoice amount higher this month?,Billing
I’d love a notification system for updates.,Feature Request
I’d love a notification system for updates.,Feature Request
Can you explain this charge on my credit card?,Billing
How can I change my username?,Account Management
The website loads very slowly on my computer.,Technical Issue
How can I change my username?,Account Management
The app crashes every time I open it.,Technical Issue
The app crashes every time I open it.,Technical Issue
It would be great to have a mobile app.,Feature Request
Can you add dark mode support?,Feature Request
Please delete my account permanently.,Account Management
My billing history is missing from the dashboard.,Billing
Where are your servers located?,General Inquiry
I want to update my email address.,Account Management
The search function isn't working properly.,Technical Issue
Do you offer discounts for students?,General Inquiry
Why is my invoice amount higher this month?,Billing
I can't log into my account.,Technical Issue
Can you add dark mode support?,Feature Request
I need to merge two of my accounts.,Account Management
Where are your servers located?,General Inquiry
I’d love a notification system for updates.,Feature Request
The website loads very slowly on my computer.,Technical Issue
I was charged twice for my subscription.,Billing
How can I change my username?,Account Management
I’d love a notification system for updates.,Feature Request
Can you allow exporting data to Excel?,Feature Request
What are your support hours?,General Inquiry
The search function isn't working properly.,Technical Issue
I need a refund for a mistaken payment.,Billing
I’d love a notification system for updates.,Feature Request
I want to update my email address.,Account Management
What is your privacy policy?,General Inquiry
I can't log into my account.,Technical Issue
I’d love a notification system for updates.,Feature Request
I was charged twice for my subscription.,Billing
Do you offer discounts for students?,General Inquiry
I want to update my email address.,Account Management
The search function isn't working properly.,Technical Issue
The search function isn't working properly.,Technical Issue
Where are your servers located?,General Inquiry
Can you explain this charge on my credit card?,Billing
The website loads very slowly on my computer.,Technical Issue
I want to update my email address.,Account Management
I need to merge two of my accounts.,Account Management
What are your support hours?,General Inquiry
Do you offer discounts for students?,General Inquiry
What is your privacy policy?,General Inquiry
I can't log into my account.,Technical Issue
What is your privacy policy?,General Inquiry
I need to merge two of my accounts.,Account Management
I was charged twice for my subscription.,Billing
I was charged twice for my subscription.,Billing
